r,t,M,D,K,S,num_points,num_missed,error,acc,spr_error,spr_perc,runtime,rep_time,cluster_time
8,31,9,6,5,3396,16980,342,0.020141342756183747,0.9798586572438163,0.04053190438893002,85.93050647820967,2.5324727249972057,1.1518018159840722,1.3806709090131335
8,32,9,6,5,3396,16980,391,0.023027090694935217,0.9769729093050648,0.042015615420356006,85.64193168433451,2.5683966929791495,1.1517243749985937,1.4166723179805558
8,33,9,6,5,3396,16980,535,0.031507656065959955,0.96849234393404,0.05732051017017863,80.7656065959953,2.5553303110064007,1.1518907010031398,1.403439610003261
8,34,9,6,5,3396,16980,411,0.02420494699646643,0.9757950530035335,0.045300307127363604,83.74558303886926,2.5453416539821774,1.1517305769957602,1.3936110769864172
8,35,9,6,5,3396,16980,402,0.023674911660777384,0.9763250883392226,0.04722480521362309,83.88103651354535,2.5005123690061737,1.1517749830090906,1.348737385997083
8,36,9,6,5,3396,16980,435,0.02561837455830389,0.9743816254416962,0.048894447048034674,83.16843345111897,2.4781144710141234,1.1511948000115808,1.3269196710025426
8,37,9,6,5,3396,16980,377,0.022202591283863368,0.9777974087161366,0.039863946759334946,86.43109540636043,2.6103000940056518,1.1512303469935432,1.4590697470121086
8,38,9,6,5,3396,16980,436,0.025677267373380448,0.9743227326266195,0.048865026397958325,82.8032979976443,2.530613877985161,1.1515302369953133,1.3790836409898475
8,39,9,6,5,3396,16980,514,0.03027090694935218,0.9697290930506478,0.053603751740211016,81.60188457008245,2.502929234004114,1.1511016470030881,1.3518275870010257
8,40,9,6,5,3396,16980,343,0.020200235571260307,0.9797997644287397,0.04059165762888112,85.31802120141343,2.4931773639982566,1.1514200509991497,1.341757312999107
8,41,9,6,5,3396,16980,390,0.022968197879858657,0.9770318021201413,0.044818915255143726,84.78798586572438,2.555792722996557,1.1511745270108804,1.4046181959856767
8,42,9,6,5,3396,16980,511,0.030094228504122498,0.9699057714958775,0.05911371510044951,80.00588928150766,2.5078196130052675,1.151580951991491,1.3562386610137764
8,43,9,6,5,3396,16980,420,0.024734982332155476,0.9752650176678446,0.04450003133842444,84.29328621908128,2.52828870198573,1.1519944659958128,1.376294235989917
8,44,9,6,5,3396,16980,477,0.028091872791519434,0.9719081272084805,0.04570983348767659,84.263839811543,2.558556984004099,1.1517494640138466,1.4068075199902523
8,45,9,6,5,3396,16980,543,0.03197879858657244,0.9680212014134275,0.05791302425474863,80.68904593639576,2.5521940769976936,1.151771278004162,1.4004227989935316
8,46,9,6,5,3396,16980,374,0.022025912838633685,0.9779740871613664,0.03926060092798919,86.5017667844523,2.47687799698906,1.1505230680049863,1.326354928984074
8,47,9,6,5,3396,16980,537,0.031625441696113074,0.968374558303887,0.05826724973277364,80.65959952885748,2.5186144480248913,1.152053957019234,1.3665604910056572
8,48,9,6,5,3396,16980,487,0.02868080094228504,0.9713191990577149,0.05254963013898025,82.52650176678445,2.489407796994783,1.1513807449955493,1.3380270519992337
8,49,9,6,5,3396,16980,470,0.02767962308598351,0.9723203769140165,0.05254722750106025,82.66195524146055,2.5468748019775376,1.1521303449990228,1.3947444569785148
9,0,9,6,5,6132,30660,642,0.020939334637964775,0.9790606653620352,0.03245099763240467,89.32811480756686,53.284638573008124,48.2720302210073,5.012608352000825
9,1,9,6,5,6132,30660,867,0.02827788649706458,0.9717221135029355,0.0466845579562221,84.5140247879974,5.697872051008744,3.9965016939968336,1.7013703570119105
9,2,9,6,5,6132,30660,703,0.022928897586431834,0.9770711024135682,0.033816823255354705,88.25179386823223,5.5783094729995355,3.998039199010236,1.5802702739892993
9,3,9,6,5,6132,30660,692,0.022570123939986954,0.9774298760600131,0.03516484797338081,88.32681017612525,5.782646613981342,3.998351152986288,1.7842954609950539
9,4,9,6,5,6132,30660,886,0.028897586431833006,0.971102413568167,0.041270165933378664,86.17416829745598,5.723980577982729,3.9976820919837337,1.7262984859989956
9,5,9,6,5,6132,30660,1002,0.03268101761252446,0.9673189823874755,0.046532906238709024,84.49445531637313,5.767008348018862,3.998430718027521,1.7685776299913414
9,6,9,6,5,6132,30660,809,0.026386170906718853,0.9736138290932812,0.04278009862538111,85.77951728636661,5.666309754975373,3.9981853409844916,1.6681244139908813
9,7,9,6,5,6132,30660,885,0.028864970645792562,0.9711350293542075,0.03758460215543569,87.06131767775604,5.5941527059767395,3.998756290995516,1.5953964149812236
9,8,9,6,5,6132,30660,683,0.022276581865622962,0.977723418134377,0.03626038202621002,87.42009132420092,5.631370312010404,3.999686938012019,1.631683373998385
9,9,9,6,5,6132,30660,736,0.02400521852576647,0.9759947814742336,0.03382922506451806,88.59752120026093,5.6105767769913655,3.9982847399951424,1.612292036996223
9,10,9,6,5,6132,30660,661,0.021559034572733202,0.9784409654272668,0.037099089139489276,87.2863666014351,5.643638806010131,3.9999834460031707,1.64365536000696
